event_id,session_id,user_id,event_timestamp,stage_name,event_status,source,device,region,product
E00001401,S000014,U000265,2025-03-29 12:12:03,Website Visit,Completed,Social Media,Mobile,Central,Personal Loan
E00001402,S000014,U000265,2025-03-29 12:31:12,Product Page Viewed,Completed,Social Media,Mobile,Central,Personal Loan
E000014XX,S000014,U000265,2025-03-29 12:31:12,Product Page Viewed,Dropped Off,Social Media,Mobile,Central,Personal Loan
E00001501,S000015,U001569,2025-06-02 00:25:41,Website Visit,Completed,Organic Search,Desktop,West,Personal Loan
E00001502,S000015,U001569,2025-06-02 00:39:28,Product Page Viewed,Completed,Organic Search,Desktop,West,Personal Loan
E00001503,S000015,U001569,2025-06-02 00:47:46,Calculator Used,Completed,Organic Search,Desktop,West,Personal Loan
E00001504,S000015,U001569,2025-06-02 00:55:07,CTA Clicked,Completed,Organic Search,Desktop,West,Personal Loan
E00001505,S000015,U001569,2025-06-02 01:24:57,Lead Form Started,Completed,Organic Search,Desktop,West,Personal Loan
E000015XX,S000015,U001569,2025-06-02 01:24:57,Lead Form Started,Dropped Off,Organic Search,Desktop,West,Personal Loan
E00001601,S000016,U001492,2025-06-01 19:35:51,Website Visit,Completed,Organic Search,Mobile,East,Personal Loan
E00001602,S000016,U001492,2025-06-01 19:57:13,Product Page Viewed,Completed,Organic Search,Mobile,East,Personal Loan
E00001603,S000016,U001492,2025-06-01 19:59:11,Calculator Used,Completed,Organic Search,Mobile,East,Personal Loan
E00001604,S000016,U001492,2025-06-01 20:05:17,CTA Clicked,Completed,Organic Search,Mobile,East,Personal Loan
E00001605,S000016,U001492,2025-06-01 20:10:47,Lead Form Started,Completed,Organic Search,Mobile,East,Personal Loan
E00001606,S000016,U001492,2025-06-01 20:35:46,Lead Form Submitted,Completed,Organic Search,Mobile,East,Personal Loan
E00001701,S000017,U000107,2025-03-19 14:11:14,Website Visit,Completed,Referral,Mobile,South,Credit Card
E00001702,S000017,U000107,2025-03-19 14:11:46,Product Page Viewed,Completed,Referral,Mobile,South,Credit Card
E00001703,S000017,U000107,2025-03-19 14:23:11,Calculator Used,Completed,Referral,Mobile,South,Credit Card
E00001704,S000017,U000107,2025-03-19 14:50:58,CTA Clicked,Completed,Referral,Mobile,South,Credit Card
E00001705,S000017,U000107,2025-03-19 15:06:50,Lead Form Started,Completed,Referral,Mobile,South,Credit Card
E00001706,S000017,U000107,2025-03-19 15:33:40,Lead Form Submitted,Completed,Referral,Mobile,South,Credit Card
E00001801,S000018,U000204,2025-01-17 20:00:10,Website Visit,Completed,Organic Search,Desktop,North,Savings Account
E00001802,S000018,U000204,2025-01-17 20:25:56,Product Page Viewed,Completed,Organic Search,Desktop,North,Savings Account
E000018XX,S000018,U000204,2025-01-17 20:25:56,Product Page Viewed,Dropped Off,Organic Search,Desktop,North,Savings Account
E00001901,S000019,U001568,2025-03-11 16:28:04,Website Visit,Completed,Paid Ads,Mobile,East,Credit Card
E00001902,S000019,U001568,2025-03-11 16:51:15,Product Page Viewed,Completed,Paid Ads,Mobile,East,Credit Card
E000019XX,S000019,U001568,2025-03-11 16:51:15,Product Page Viewed,Dropped Off,Paid Ads,Mobile,East,Credit Card
E00002001,S000020,U000657,2025-03-24 12:51:01,Website Visit,Completed,Email,Desktop,West,Credit Card
E00002002,S000020,U000657,2025-03-24 13:12:52,Product Page Viewed,Completed,Email,Desktop,West,Credit Card
E000020XX,S000020,U000657,2025-03-24 13:12:52,Product Page Viewed,Dropped Off,Email,Desktop,West,Credit Card
E00002101,S000021,U001046,2025-06-18 17:21:43,Website Visit,Completed,Social Media,Desktop,East,Savings Account
E00002102,S000021,U001046,2025-06-18 17:42:12,Product Page Viewed,Completed,Social Media,Desktop,East,Savings Account
E000021XX,S000021,U001046,2025-06-18 17:42:12,Product Page Viewed,Dropped Off,Social Media,Desktop,East,Savings Account
E00002201,S000022,U001045,2025-05-11 18:20:02,Website Visit,Completed,Email,Mobile,East,Insurance Plan
E00002202,S000022,U001045,2025-05-11 18:42:59,Product Page Viewed,Completed,Email,Mobile,East,Insurance Plan
E000022XX,S000022,U001045,2025-05-11 18:42:59,Product Page Viewed,Dropped Off,Email,Mobile,East,Insurance Plan
E00002301,S000023,U001590,2025-03-07 12:46:21,Website Visit,Completed,Organic Search,Mobile,Central,Credit Card
E00002302,S000023,U001590,2025-03-07 12:59:15,Product Page Viewed,Completed,Organic Search,Mobile,Central,Credit Card
E00002303,S000023,U001590,2025-03-07 13:03:05,Calculator Used,Completed,Organic Search,Mobile,Central,Credit Card
E00002304,S000023,U001590,2025-03-07 13:11:27,CTA Clicked,Completed,Organic Search,Mobile,Central,Credit Card
E000023XX,S000023,U001590,2025-03-07 13:11:27,CTA Clicked,Dropped Off,Organic Search,Mobile,Central,Credit Card
E00002401,S000024,U001701,2025-06-08 15:17:23,Website Visit,Completed,Organic Search,Desktop,West,Personal Loan
E00002402,S000024,U001701,2025-06-08 15:47:17,Product Page Viewed,Completed,Organic Search,Desktop,West,Personal Loan
E00002403,S000024,U001701,2025-06-08 16:07:55,Calculator Used,Completed,Organic Search,Desktop,West,Personal Loan
E000024XX,S000024,U001701,2025-06-08 16:07:55,Calculator Used,Dropped Off,Organic Search,Desktop,West,Personal Loan
E00002501,S000025,U000568,2025-05-21 20:05:07,Website Visit,Completed,Organic Search,Tablet,West,Savings Account
E00002502,S000025,U000568,2025-05-21 20:06:31,Product Page Viewed,Completed,Organic Search,Tablet,West,Savings Account
E000025XX,S000025,U000568,2025-05-21 20:06:31,Product Page Viewed,Dropped Off,Organic Search,Tablet,West,Savings Account
E00002601,S000026,U000313,2025-01-10 19:40:46,Website Visit,Completed,Email,Mobile,Central,Personal Loan
E00002602,S000026,U000313,2025-01-10 20:01:48,Product Page Viewed,Completed,Email,Mobile,Central,Personal Loan
E00002603,S000026,U000313,2025-01-10 20:18:08,Calculator Used,Completed,Email,Mobile,Central,Personal Loan
E00002604,S000026,U000313,2025-01-10 20:40:34,CTA Clicked,Completed,Email,Mobile,Central,Personal Loan
E00002605,S000026,U000313,2025-01-10 20:57:09,Lead Form Started,Completed,Email,Mobile,Central,Personal Loan
E00002606,S000026,U000313,2025-01-10 21:16:10,Lead Form Submitted,Completed,Email,Mobile,Central,Personal Loan
E00002701,S000027,U000172,2025-06-03 10:46:14,Website Visit,Completed,Referral,Mobile,South,Savings Account
E00002702,S000027,U000172,2025-06-03 10:57:43,Product Page Viewed,Completed,Referral,Mobile,South,Savings Account
E000027XX,S000027,U000172,2025-06-03 10:57:43,Product Page Viewed,Dropped Off,Referral,Mobile,South,Savings Account
E00002801,S000028,U001960,2025-04-17 11:00:19,Website Visit,Completed,Email,Desktop,East,Personal Loan
E00002802,S000028,U001960,2025-04-17 11:14:43,Product Page Viewed,Completed,Email,Desktop,East,Personal Loan
E000028XX,S000028,U001960,2025-04-17 11:14:43,Product Page Viewed,Dropped Off,Email,Desktop,East,Personal Loan
E00002901,S000029,U001946,2025-01-25 22:44:54,Website Visit,Completed,Paid Ads,Mobile,West,Credit Card
E00002902,S000029,U001946,2025-01-25 23:02:41,Product Page Viewed,Completed,Paid Ads,Mobile,West,Credit Card
E00002903,S000029,U001946,2025-01-25 23:05:50,Calculator Used,Completed,Paid Ads,Mobile,West,Credit Card
E00002904,S000029,U001946,2025-01-25 23:23:08,CTA Clicked,Completed,Paid Ads,Mobile,West,Credit Card
E00002905,S000029,U001946,2025-01-25 23:33:52,Lead Form Started,Completed,Paid Ads,Mobile,West,Credit Card
E00002906,S000029,U001946,2025-01-25 23:50:59,Lead Form Submitted,Completed,Paid Ads,Mobile,West,Credit Card
E00003001,S000030,U001179,2025-05-07 13:07:43,Website Visit,Completed,Referral,Mobile,West,Credit Card
E00003002,S000030,U001179,2025-05-07 13:15:20,Product Page Viewed,Completed,Referral,Mobile,West,Credit Card
E000030XX,S000030,U001179,2025-05-07 13:15:20,Product Page Viewed,Dropped Off,Referral,Mobile,West,Credit Card
E00003101,S000031,U000629,2025-04-04 20:05:49,Website Visit,Completed,Direct,Mobile,North,Savings Account
E00003102,S000031,U000629,2025-04-04 20:17:11,Product Page Viewed,Completed,Direct,Mobile,North,Savings Account
E000031XX,S000031,U000629,2025-04-04 20:17:11,Product Page Viewed,Dropped Off,Direct,Mobile,North,Savings Account
E00003201,S000032,U000479,2025-04-19 16:02:34,Website Visit,Completed,Paid Ads,Tablet,Central,Savings Account
E00003202,S000032,U000479,2025-04-19 16:14:24,Product Page Viewed,Completed,Paid Ads,Tablet,Central,Savings Account
E00003203,S000032,U000479,2025-04-19 16:35:50,Calculator Used,Completed,Paid Ads,Tablet,Central,Savings Account
E00003204,S000032,U000479,2025-04-19 16:41:05,CTA Clicked,Completed,Paid Ads,Tablet,Central,Savings Account
E00003205,S000032,U000479,2025-04-19 16:53:48,Lead Form Started,Completed,Paid Ads,Tablet,Central,Savings Account
E00003206,S000032,U000479,2025-04-19 17:18:56,Lead Form Submitted,Completed,Paid Ads,Tablet,Central,Savings Account
E00003301,S000033,U001840,2025-06-28 22:59:32,Website Visit,Completed,Email,Tablet,North,Credit Card
E00003302,S000033,U001840,2025-06-28 23:05:34,Product Page Viewed,Completed,Email,Tablet,North,Credit Card
E00003303,S000033,U001840,2025-06-28 23:14:33,Calculator Used,Completed,Email,Tablet,North,Credit Card
E00003304,S000033,U001840,2025-06-28 23:20:39,CTA Clicked,Completed,Email,Tablet,North,Credit Card
E000033XX,S000033,U001840,2025-06-28 23:20:39,CTA Clicked,Dropped Off,Email,Tablet,North,Credit Card
E00003401,S000034,U000980,2025-06-29 14:04:28,Website Visit,Completed,Direct,Mobile,South,Savings Account
E00003402,S000034,U000980,2025-06-29 14:19:06,Product Page Viewed,Completed,Direct,Mobile,South,Savings Account
E00003403,S000034,U000980,2025-06-29 14:39:52,Calculator Used,Completed,Direct,Mobile,South,Savings Account
E00003404,S000034,U000980,2025-06-29 15:05:28,CTA Clicked,Completed,Direct,Mobile,South,Savings Account
E00003405,S000034,U000980,2025-06-29 15:16:46,Lead Form Started,Completed,Direct,Mobile,South,Savings Account
E000034XX,S000034,U000980,2025-06-29 15:16:46,Lead Form Started,Dropped Off,Direct,Mobile,South,Savings Account
E00003501,S000035,U001010,2025-03-19 21:49:45,Website Visit,Completed,Direct,Desktop,South,Credit Card
E00003502,S000035,U001010,2025-03-19 22:08:07,Product Page Viewed,Completed,Direct,Desktop,South,Credit Card
E00003503,S000035,U001010,2025-03-19 22:35:57,Calculator Used,Completed,Direct,Desktop,South,Credit Card
E00003504,S000035,U001010,2025-03-19 22:56:46,CTA Clicked,Completed,Direct,Desktop,South,Credit Card
E00003505,S000035,U001010,2025-03-19 23:10:23,Lead Form Started,Completed,Direct,Desktop,South,Credit Card
E00003506,S000035,U001010,2025-03-19 23:23:11,Lead Form Submitted,Completed,Direct,Desktop,South,Credit Card
E00003601,S000036,U000615,2025-01-26 14:21:48,Website Visit,Completed,Organic Search,Mobile,West,Credit Card
E00003602,S000036,U000615,2025-01-26 14:25:31,Product Page Viewed,Completed,Organic Search,Mobile,West,Credit Card
E000036XX,S000036,U000615,2025-01-26 14:25:31,Product Page Viewed,Dropped Off,Organic Search,Mobile,West,Credit Card
E00003701,S000037,U001618,2025-03-21 15:35:31,Website Visit,Completed,Referral,Tablet,Central,Personal Loan
E00003702,S000037,U001618,2025-03-21 15:43:01,Product Page Viewed,Completed,Referral,Tablet,Central,Personal Loan
E000037XX,S000037,U001618,2025-03-21 15:43:01,Product Page Viewed,Dropped Off,Referral,Tablet,Central,Personal Loan
E00003801,S000038,U000823,2025-01-14 19:02:54,Website Visit,Completed,Organic Search,Mobile,West,Insurance Plan
E00003802,S000038,U000823,2025-01-14 19:25:10,Product Page Viewed,Completed,Organic Search,Mobile,West,Insurance Plan
E000038XX,S000038,U000823,2025-01-14 19:25:10,Product Page Viewed,Dropped Off,Organic Search,Mobile,West,Insurance Plan
E00003901,S000039,U000764,2025-01-09 21:47:15,Website Visit,Completed,Direct,Desktop,North,Credit Card
E00003902,S000039,U000764,2025-01-09 22:08:38,Product Page Viewed,Completed,Direct,Desktop,North,Credit Card
E00003903,S000039,U000764,2025-01-09 22:26:28,Calculator Used,Completed,Direct,Desktop,North,Credit Card
E000039XX,S000039,U000764,2025-01-09 22:26:28,Calculator Used,Dropped Off,Direct,Desktop,North,Credit Card
E00004001,S000040,U000898,2025-03-13 02:44:57,Website Visit,Completed,Email,Mobile,North,Personal Loan
E00004002,S000040,U000898,2025-03-13 02:47:04,Product Page Viewed,Completed,Email,Mobile,North,Personal Loan
E00004003,S000040,U000898,2025-03-13 02:59:02,Calculator Used,Completed,Email,Mobile,North,Personal Loan
E00004004,S000040,U000898,2025-03-13 03:14:04,CTA Clicked,Completed,Email,Mobile,North,Personal Loan
E000040XX,S000040,U000898,2025-03-13 03:14:04,CTA Clicked,Dropped Off,Email,Mobile,North,Personal Loan
E00004101,S000041,U001830,2025-02-09 11:55:33,Website Visit,Completed,Organic Search,Mobile,North,Personal Loan
E00004102,S000041,U001830,2025-02-09 12:22:29,Product Page Viewed,Completed,Organic Search,Mobile,North,Personal Loan
E000041XX,S000041,U001830,2025-02-09 12:22:29,Product Page Viewed,Dropped Off,Organic Search,Mobile,North,Personal Loan
E00004201,S000042,U001121,2025-02-28 21:22:51,Website Visit,Completed,Direct,Desktop,East,Savings Account
E00004202,S000042,U001121,2025-02-28 21:48:43,Product Page Viewed,Completed,Direct,Desktop,East,Savings Account
E00004203,S000042,U001121,2025-02-28 22:03:10,Calculator Used,Completed,Direct,Desktop,East,Savings Account
E00004204,S000042,U001121,2025-02-28 22:31:40,CTA Clicked,Completed,Direct,Desktop,East,Savings Account
E00004205,S000042,U001121,2025-02-28 23:01:30,Lead Form Started,Completed,Direct,Desktop,East,Savings Account
E000042XX,S000042,U001121,2025-02-28 23:01:30,Lead Form Started,Dropped Off,Direct,Desktop,East,Savings Account
E00004301,S000043,U001178,2025-05-02 06:08:09,Website Visit,Completed,Social Media,Desktop,North,Credit Card
E00004302,S000043,U001178,2025-05-02 06:25:27,Product Page Viewed,Completed,Social Media,Desktop,North,Credit Card
E00004303,S000043,U001178,2025-05-02 06:27:43,Calculator Used,Completed,Social Media,Desktop,North,Credit Card
E000043XX,S000043,U001178,2025-05-02 06:27:43,Calculator Used,Dropped Off,Social Media,Desktop,North,Credit Card
E00004401,S000044,U001969,2025-03-23 06:19:56,Website Visit,Completed,Paid Ads,Mobile,North,Credit Card
E00004402,S000044,U001969,2025-03-23 06:23:33,Product Page Viewed,Completed,Paid Ads,Mobile,North,Credit Card
E00004403,S000044,U001969,2025-03-23 06:38:57,Calculator Used,Completed,Paid Ads,Mobile,North,Credit Card
E00004404,S000044,U001969,2025-03-23 06:47:26,CTA Clicked,Completed,Paid Ads,Mobile,North,Credit Card
E00004405,S000044,U001969,2025-03-23 07:02:17,Lead Form Started,Completed,Paid Ads,Mobile,North,Credit Card
E000044XX,S000044,U001969,2025-03-23 07:02:17,Lead Form Started,Dropped Off,Paid Ads,Mobile,North,Credit Card
E00004501,S000045,U000059,2025-03-01 09:50:35,Website Visit,Completed,Email,Desktop,South,Personal Loan
E00004502,S000045,U000059,2025-03-01 10:08:49,Product Page Viewed,Completed,Email,Desktop,South,Personal Loan
E000045XX,S000045,U000059,2025-03-01 10:08:49,Product Page Viewed,Dropped Off,Email,Desktop,South,Personal Loan
E00004601,S000046,U000095,2025-02-27 03:19:00,Website Visit,Completed,Social Media,Mobile,North,Personal Loan
E00004602,S000046,U000095,2025-02-27 03:24:09,Product Page Viewed,Completed,Social Media,Mobile,North,Personal Loan
E000046XX,S000046,U000095,2025-02-27 03:24:09,Product Page Viewed,Dropped Off,Social Media,Mobile,North,Personal Loan
E00004701,S000047,U001990,2025-06-03 06:59:13,Website Visit,Completed,Social Media,Mobile,West,Insurance Plan
E00004702,S000047,U001990,2025-06-03 07:23:15,Product Page Viewed,Completed,Social Media,Mobile,West,Insurance Plan
E00004703,S000047,U001990,2025-06-03 07:49:09,Calculator Used,Completed,Social Media,Mobile,West,Insurance Plan
E00004704,S000047,U001990,2025-06-03 07:50:22,CTA Clicked,Completed,Social Media,Mobile,West,Insurance Plan
E00004705,S000047,U001990,2025-06-03 08:12:31,Lead Form Started,Completed,Social Media,Mobile,West,Insurance Plan
E00004706,S000047,U001990,2025-06-03 08:23:07,Lead Form Submitted,Completed,Social Media,Mobile,West,Insurance Plan
E00004801,S000048,U000767,2025-01-04 16:51:01,Website Visit,Completed,Referral,Desktop,West,Personal Loan
E00004802,S000048,U000767,2025-01-04 17:07:45,Product Page Viewed,Completed,Referral,Desktop,West,Personal Loan
E00004803,S000048,U000767,2025-01-04 17:37:32,Calculator Used,Completed,Referral,Desktop,West,Personal Loan
E00004804,S000048,U000767,2025-01-04 17:55:00,CTA Clicked,Completed,Referral,Desktop,West,Personal Loan
E000048XX,S000048,U000767,2025-01-04 17:55:00,CTA Clicked,Dropped Off,Referral,Desktop,West,Personal Loan
E00004901,S000049,U001169,2025-03-11 03:02:45,Website Visit,Completed,Email,Desktop,East,Credit Card
E00004902,S000049,U001169,2025-03-11 03:29:00,Product Page Viewed,Completed,Email,Desktop,East,Credit Card
E000049XX,S000049,U001169,2025-03-11 03:29:00,Product Page Viewed,Dropped Off,Email,Desktop,East,Credit Card
E00005001,S000050,U001239,2025-04-20 04:26:45,Website Visit,Completed,Paid Ads,Desktop,West,Credit Card
E00005002,S000050,U001239,2025-04-20 04:46:35,Product Page Viewed,Completed,Paid Ads,Desktop,West,Credit Card
E000050XX,S000050,U001239,2025-04-20 04:46:35,Product Page Viewed,Dropped Off,Paid Ads,Desktop,West,Credit Card
E00005101,S000051,U000790,2025-01-29 16:22:55,Website Visit,Completed,Organic Search,Tablet,North,Personal Loan
E00005102,S000051,U000790,2025-01-29 16:44:56,Product Page Viewed,Completed,Organic Search,Tablet,North,Personal Loan
E000051XX,S000051,U000790,2025-01-29 16:44:56,Product Page Viewed,Dropped Off,Organic Search,Tablet,North,Personal Loan
E00005201,S000052,U001899,2025-04-13 10:39:54,Website Visit,Completed,Social Media,Desktop,West,Personal Loan
E00005202,S000052,U001899,2025-04-13 10:57:11,Product Page Viewed,Completed,Social Media,Desktop,West,Personal Loan
E000052XX,S000052,U001899,2025-04-13 10:57:11,Product Page Viewed,Dropped Off,Social Media,Desktop,West,Personal Loan
E00005301,S000053,U001162,2025-03-11 09:49:09,Website Visit,Completed,Direct,Tablet,East,Personal Loan
E00005302,S000053,U001162,2025-03-11 10:11:50,Product Page Viewed,Completed,Direct,Tablet,East,Personal Loan
E00005303,S000053,U001162,2025-03-11 10:22:21,Calculator Used,Completed,Direct,Tablet,East,Personal Loan
E000053XX,S000053,U001162,2025-03-11 10:22:21,Calculator Used,Dropped Off,Direct,Tablet,East,Personal Loan
E00005401,S000054,U000556,2025-03-28 04:51:00,Website Visit,Completed,Organic Search,Mobile,East,Personal Loan
E00005402,S000054,U000556,2025-03-28 05:17:20,Product Page Viewed,Completed,Organic Search,Mobile,East,Personal Loan
E00005403,S000054,U000556,2025-03-28 05:20:47,Calculator Used,Completed,Organic Search,Mobile,East,Personal Loan
E00005404,S000054,U000556,2025-03-28 05:50:19,CTA Clicked,Completed,Organic Search,Mobile,East,Personal Loan
E00005405,S000054,U000556,2025-03-28 06:08:51,Lead Form Started,Completed,Organic Search,Mobile,East,Personal Loan
E000054XX,S000054,U000556,2025-03-28 06:08:51,Lead Form Started,Dropped Off,Organic Search,Mobile,East,Personal Loan
E00005501,S000055,U001964,2025-03-05 22:52:19,Website Visit,Completed,Organic Search,Mobile,South,Credit Card
E00005502,S000055,U001964,2025-03-05 23:14:27,Product Page Viewed,Completed,Organic Search,Mobile,South,Credit Card
E00005503,S000055,U001964,2025-03-05 23:39:56,Calculator Used,Completed,Organic Search,Mobile,South,Credit Card
E00005504,S000055,U001964,2025-03-05 23:51:16,CTA Clicked,Completed,Organic Search,Mobile,South,Credit Card
E000055XX,S000055,U001964,2025-03-05 23:51:16,CTA Clicked,Dropped Off,Organic Search,Mobile,South,Credit Card
E00005601,S000056,U001670,2025-03-14 02:39:49,Website Visit,Completed,Email,Mobile,Central,Personal Loan
E00005602,S000056,U001670,2025-03-14 02:57:11,Product Page Viewed,Completed,Email,Mobile,Central,Personal Loan
E00005603,S000056,U001670,2025-03-14 03:23:27,Calculator Used,Completed,Email,Mobile,Central,Personal Loan
E00005604,S000056,U001670,2025-03-14 03:45:56,CTA Clicked,Completed,Email,Mobile,Central,Personal Loan
E00005605,S000056,U001670,2025-03-14 03:56:19,Lead Form Started,Completed,Email,Mobile,Central,Personal Loan
