,session_id,user_id,session_start,session_date,source,device,region,age_band,income_band,product,is_returning_user,page_views,session_duration_seconds,completed_stage,product_page_viewed,calculator_used,cta_clicked,form_started,form_submitted,exit_page,exit_reason,estimated_opportunity_value,session_month,session_week
15,S000016,U001492,2025-06-01 19:35:51,2025-06-01,Organic Search,Mobile,East,45-54,25K-50K,Personal Loan,1,11,1107,Lead Form Submitted,1,1,1,1,1,,,0,6,22
16,S000017,U000107,2025-03-19 14:11:14,2025-03-19,Referral,Mobile,South,45-54,50K-100K,Credit Card,1,6,230,Lead Form Submitted,1,1,1,1,1,,,0,3,12
17,S000018,U000204,2025-01-17 20:00:10,2025-01-17,Organic Search,Desktop,North,45-54,100K+,Savings Account,0,7,939,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,15113,1,3
18,S000019,U001568,2025-03-11 16:28:04,2025-03-11,Paid Ads,Mobile,East,25-34,25K-50K,Credit Card,0,8,889,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,27652,3,11
19,S000020,U000657,2025-03-24 12:51:01,2025-03-24,Email,Desktop,West,35-44,25K-50K,Credit Card,0,1,255,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,17841,3,13
20,S000021,U001046,2025-06-18 17:21:43,2025-06-18,Social Media,Desktop,East,45-54,100K+,Savings Account,1,2,871,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,15157,6,25
21,S000022,U001045,2025-05-11 18:20:02,2025-05-11,Email,Mobile,East,18-24,Below 25K,Insurance Plan,1,6,795,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,5985,5,19
22,S000023,U001590,2025-03-07 12:46:21,2025-03-07,Organic Search,Mobile,Central,25-34,50K-100K,Credit Card,0,4,1140,CTA Clicked,1,1,1,0,0,CTA Clicked,Technical issue,39292,3,10
23,S000024,U001701,2025-06-08 15:17:23,2025-06-08,Organic Search,Desktop,West,25-34,50K-100K,Personal Loan,0,12,558,Calculator Used,1,1,0,0,0,Calculator Used,Required information unavailable,150040,6,23
24,S000025,U000568,2025-05-21 20:05:07,2025-05-21,Organic Search,Tablet,West,18-24,100K+,Savings Account,1,3,300,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,8824,5,21
25,S000026,U000313,2025-01-10 19:40:46,2025-01-10,Email,Mobile,Central,45-54,100K+,Personal Loan,0,8,1018,Lead Form Submitted,1,1,1,1,1,,,0,1,2
26,S000027,U000172,2025-06-03 10:46:14,2025-06-03,Referral,Mobile,South,55+,50K-100K,Savings Account,1,2,98,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,11273,6,23
27,S000028,U001960,2025-04-17 11:00:19,2025-04-17,Email,Desktop,East,55+,25K-50K,Personal Loan,0,7,844,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,74802,4,16
28,S000029,U001946,2025-01-25 22:44:54,2025-01-25,Paid Ads,Mobile,West,25-34,25K-50K,Credit Card,1,4,1140,Lead Form Submitted,1,1,1,1,1,,,0,1,4
29,S000030,U001179,2025-05-07 13:07:43,2025-05-07,Referral,Mobile,West,25-34,50K-100K,Credit Card,0,8,1155,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,35546,5,19
30,S000031,U000629,2025-04-04 20:05:49,2025-04-04,Direct,Mobile,North,18-24,25K-50K,Savings Account,0,6,220,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,10862,4,14
31,S000032,U000479,2025-04-19 16:02:34,2025-04-19,Paid Ads,Tablet,Central,25-34,50K-100K,Savings Account,0,2,908,Lead Form Submitted,1,1,1,1,1,,,0,4,16
32,S000033,U001840,2025-06-28 22:59:32,2025-06-28,Email,Tablet,North,25-34,Below 25K,Credit Card,0,7,63,CTA Clicked,1,1,1,0,0,CTA Clicked,Privacy concern,21513,6,26
33,S000034,U000980,2025-06-29 14:04:28,2025-06-29,Direct,Mobile,South,35-44,50K-100K,Savings Account,0,10,919,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,19318,6,26
34,S000035,U001010,2025-03-19 21:49:45,2025-03-19,Direct,Desktop,South,35-44,Below 25K,Credit Card,0,12,1102,Lead Form Submitted,1,1,1,1,1,,,0,3,12
35,S000036,U000615,2025-01-26 14:21:48,2025-01-26,Organic Search,Mobile,West,55+,50K-100K,Credit Card,0,12,918,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,33877,1,4
36,S000037,U001618,2025-03-21 15:35:31,2025-03-21,Referral,Tablet,Central,35-44,50K-100K,Personal Loan,0,7,20,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,159813,3,12
37,S000038,U000823,2025-01-14 19:02:54,2025-01-14,Organic Search,Mobile,West,45-54,Below 25K,Insurance Plan,0,12,72,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,9485,1,3
38,S000039,U000764,2025-01-09 21:47:15,2025-01-09,Direct,Desktop,North,35-44,Below 25K,Credit Card,0,3,844,Calculator Used,1,1,0,0,0,Calculator Used,Technical issue,23148,1,2
39,S000040,U000898,2025-03-13 02:44:57,2025-03-13,Email,Mobile,North,35-44,50K-100K,Personal Loan,0,4,771,CTA Clicked,1,1,1,0,0,CTA Clicked,Privacy concern,121926,3,11
40,S000041,U001830,2025-02-09 11:55:33,2025-02-09,Organic Search,Mobile,North,18-24,25K-50K,Personal Loan,0,11,422,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,86274,2,6
41,S000042,U001121,2025-02-28 21:22:51,2025-02-28,Direct,Desktop,East,25-34,25K-50K,Savings Account,0,11,225,Lead Form Started,1,1,1,1,0,Lead Form Started,Too many required fields,14777,2,9
42,S000043,U001178,2025-05-02 06:08:09,2025-05-02,Social Media,Desktop,North,18-24,50K-100K,Credit Card,0,10,939,Calculator Used,1,1,0,0,0,Calculator Used,Comparing alternatives,21840,5,18
43,S000044,U001969,2025-03-23 06:19:56,2025-03-23,Paid Ads,Mobile,North,18-24,50K-100K,Credit Card,1,7,1173,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,15780,3,12
44,S000045,U000059,2025-03-01 09:50:35,2025-03-01,Email,Desktop,South,25-34,25K-50K,Personal Loan,0,6,410,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,77894,3,9
45,S000046,U000095,2025-02-27 03:19:00,2025-02-27,Social Media,Mobile,North,18-24,50K-100K,Personal Loan,1,2,690,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,139520,2,9
46,S000047,U001990,2025-06-03 06:59:13,2025-06-03,Social Media,Mobile,West,25-34,50K-100K,Insurance Plan,0,4,665,Lead Form Submitted,1,1,1,1,1,,,0,6,23
47,S000048,U000767,2025-01-04 16:51:01,2025-01-04,Referral,Desktop,West,45-54,50K-100K,Personal Loan,1,2,935,CTA Clicked,1,1,1,0,0,CTA Clicked,Form looked too long,64641,1,1
48,S000049,U001169,2025-03-11 03:02:45,2025-03-11,Email,Desktop,East,25-34,Below 25K,Credit Card,0,2,364,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,22028,3,11
49,S000050,U001239,2025-04-20 04:26:45,2025-04-20,Paid Ads,Desktop,West,45-54,100K+,Credit Card,0,7,1111,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,37768,4,16
50,S000051,U000790,2025-01-29 16:22:55,2025-01-29,Organic Search,Tablet,North,45-54,100K+,Personal Loan,1,5,572,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,140513,1,5
51,S000052,U001899,2025-04-13 10:39:54,2025-04-13,Social Media,Desktop,West,25-34,50K-100K,Personal Loan,1,2,264,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,123265,4,15
52,S000053,U001162,2025-03-11 09:49:09,2025-03-11,Direct,Tablet,East,25-34,25K-50K,Personal Loan,1,4,208,Calculator Used,1,1,0,0,0,Calculator Used,Required information unavailable,150222,3,11
53,S000054,U000556,2025-03-28 04:51:00,2025-03-28,Organic Search,Mobile,East,18-24,25K-50K,Personal Loan,0,3,788,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,152262,3,13
54,S000055,U001964,2025-03-05 22:52:19,2025-03-05,Organic Search,Mobile,South,18-24,50K-100K,Credit Card,0,5,658,CTA Clicked,1,1,1,0,0,CTA Clicked,Not ready to apply,23076,3,10
55,S000056,U001670,2025-03-14 02:39:49,2025-03-14,Email,Mobile,Central,45-54,Below 25K,Personal Loan,1,10,225,Lead Form Started,1,1,1,1,0,Lead Form Started,Technical issue,147282,3,11
56,S000057,U001070,2025-04-06 17:16:42,2025-04-06,Organic Search,Mobile,Central,45-54,25K-50K,Insurance Plan,0,3,550,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,7381,4,14
57,S000058,U001906,2025-01-27 03:55:33,2025-01-27,Direct,Mobile,South,18-24,100K+,Personal Loan,0,11,736,Lead Form Started,1,1,1,1,0,Lead Form Started,Too many required fields,136419,1,5
58,S000059,U000306,2025-05-30 22:05:45,2025-05-30,Paid Ads,Mobile,South,35-44,50K-100K,Savings Account,0,10,266,Website Visit,0,0,0,0,0,Website Visit,Landing page mismatch,9603,5,22
59,S000060,U000562,2025-03-13 10:59:53,2025-03-13,Organic Search,Mobile,West,55+,25K-50K,Credit Card,0,9,561,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,32532,3,11
60,S000061,U001972,2025-06-02 14:00:28,2025-06-02,Paid Ads,Desktop,West,35-44,50K-100K,Insurance Plan,0,1,443,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,7558,6,23
61,S000062,U001814,2025-03-01 10:03:47,2025-03-01,Direct,Mobile,South,25-34,Below 25K,Credit Card,0,2,792,Lead Form Started,1,1,1,1,0,Lead Form Started,Technical issue,21855,3,9
62,S000063,U000259,2025-06-06 06:36:13,2025-06-06,Organic Search,Mobile,West,25-34,50K-100K,Insurance Plan,0,10,1145,Calculator Used,1,1,0,0,0,Calculator Used,Comparing alternatives,8723,6,23
63,S000064,U000047,2025-04-08 09:36:05,2025-04-08,Email,Desktop,East,45-54,25K-50K,Insurance Plan,0,9,595,CTA Clicked,1,1,1,0,0,CTA Clicked,Privacy concern,10656,4,15
64,S000065,U001993,2025-05-18 05:35:46,2025-05-18,Direct,Mobile,South,25-34,25K-50K,Credit Card,0,10,444,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,24069,5,20
65,S000066,U001595,2025-01-25 20:08:24,2025-01-25,Organic Search,Desktop,North,55+,25K-50K,Credit Card,1,1,516,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,22448,1,4
66,S000067,U000952,2025-06-09 05:21:59,2025-06-09,Organic Search,Desktop,North,35-44,25K-50K,Credit Card,0,8,959,Website Visit,0,0,0,0,0,Website Visit,Slow page load,39922,6,24
67,S000068,U000641,2025-02-27 07:07:38,2025-02-27,Paid Ads,Mobile,West,45-54,50K-100K,Credit Card,0,6,1125,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,19311,2,9
68,S000069,U001758,2025-06-14 02:18:22,2025-06-14,Organic Search,Mobile,North,18-24,25K-50K,Personal Loan,0,2,56,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,116355,6,24
69,S000070,U000910,2025-05-28 01:02:34,2025-05-28,Paid Ads,Desktop,South,35-44,50K-100K,Savings Account,0,2,381,Calculator Used,1,1,0,0,0,Calculator Used,Required information unavailable,11174,5,22
70,S000071,U000088,2025-05-29 01:28:01,2025-05-29,Social Media,Mobile,West,25-34,100K+,Credit Card,0,5,1148,Calculator Used,1,1,0,0,0,Calculator Used,Technical issue,29768,5,22
71,S000072,U000768,2025-05-30 08:54:17,2025-05-30,Organic Search,Mobile,West,25-34,25K-50K,Credit Card,0,9,138,Lead Form Submitted,1,1,1,1,1,,,0,5,22
72,S000073,U001688,2025-01-12 08:41:44,2025-01-12,Organic Search,Desktop,West,45-54,25K-50K,Personal Loan,0,1,1011,Lead Form Started,1,1,1,1,0,Lead Form Started,Technical issue,84195,1,2
73,S000074,U000210,2025-03-18 12:30:52,2025-03-18,Organic Search,Desktop,South,18-24,25K-50K,Credit Card,1,3,1117,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,18604,3,12
74,S000075,U001239,2025-03-15 02:55:38,2025-03-15,Email,Desktop,West,55+,Below 25K,Credit Card,0,1,399,Website Visit,0,0,0,0,0,Website Visit,Landing page mismatch,27968,3,11
75,S000076,U000997,2025-02-22 23:18:04,2025-02-22,Paid Ads,Mobile,East,25-34,25K-50K,Personal Loan,1,10,1042,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,155345,2,8
76,S000077,U000659,2025-02-18 10:49:30,2025-02-18,Direct,Mobile,West,25-34,25K-50K,Credit Card,0,7,127,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,22121,2,8
77,S000078,U001052,2025-05-29 23:17:44,2025-05-29,Direct,Desktop,North,25-34,100K+,Insurance Plan,0,12,1175,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,9824,5,22
78,S000079,U000993,2025-02-06 11:10:41,2025-02-06,Organic Search,Desktop,South,25-34,50K-100K,Insurance Plan,0,9,205,CTA Clicked,1,1,1,0,0,CTA Clicked,Technical issue,5438,2,6
79,S000080,U001924,2025-06-08 13:54:38,2025-06-08,Organic Search,Desktop,East,55+,50K-100K,Credit Card,0,5,1123,Calculator Used,1,1,0,0,0,Calculator Used,Required information unavailable,23268,6,23
80,S000081,U000133,2025-01-05 22:33:36,2025-01-05,Direct,Desktop,North,25-34,50K-100K,Savings Account,1,7,704,Lead Form Submitted,1,1,1,1,1,,,0,1,1
81,S000082,U000398,2025-03-14 05:23:26,2025-03-14,Social Media,Mobile,West,35-44,25K-50K,Insurance Plan,0,10,447,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,6191,3,11
82,S000083,U001806,2025-03-11 01:04:57,2025-03-11,Social Media,Desktop,North,45-54,Below 25K,Personal Loan,0,1,1101,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,81746,3,11
83,S000084,U001928,2025-02-05 02:15:46,2025-02-05,Email,Desktop,West,45-54,100K+,Insurance Plan,1,12,958,Calculator Used,1,1,0,0,0,Calculator Used,Technical issue,7212,2,6
84,S000085,U000773,2025-02-20 08:40:42,2025-02-20,Paid Ads,Mobile,North,25-34,100K+,Savings Account,0,2,56,Calculator Used,1,1,0,0,0,Calculator Used,Comparing alternatives,22186,2,8
85,S000086,U000473,2025-04-12 01:10:43,2025-04-12,Organic Search,Mobile,North,45-54,25K-50K,Credit Card,0,10,254,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,21341,4,15
86,S000087,U000814,2025-03-20 14:54:07,2025-03-20,Paid Ads,Desktop,East,25-34,50K-100K,Personal Loan,0,12,207,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,73623,3,12
87,S000088,U000995,2025-04-06 12:28:09,2025-04-06,Direct,Mobile,Central,35-44,25K-50K,Credit Card,1,9,718,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,27520,4,14
88,S000089,U001434,2025-01-11 19:13:34,2025-01-11,Direct,Desktop,East,45-54,50K-100K,Credit Card,0,10,530,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,28267,1,2
89,S000090,U001473,2025-03-30 11:01:58,2025-03-30,Organic Search,Desktop,North,35-44,50K-100K,Personal Loan,0,9,338,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,150399,3,13
90,S000091,U001455,2025-05-17 04:04:02,2025-05-17,Organic Search,Mobile,East,25-34,25K-50K,Personal Loan,1,9,853,CTA Clicked,1,1,1,0,0,CTA Clicked,Not ready to apply,143692,5,20
91,S000092,U001641,2025-02-19 05:46:41,2025-02-19,Paid Ads,Mobile,East,25-34,50K-100K,Credit Card,0,3,338,Lead Form Submitted,1,1,1,1,1,,,0,2,8
92,S000093,U000996,2025-04-24 15:25:55,2025-04-24,Email,Tablet,West,45-54,50K-100K,Insurance Plan,0,10,111,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,9721,4,17
93,S000094,U001979,2025-01-20 17:06:36,2025-01-20,Email,Desktop,Central,45-54,25K-50K,Insurance Plan,0,3,903,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,5320,1,4
94,S000095,U000391,2025-05-15 01:23:26,2025-05-15,Social Media,Mobile,West,25-34,Below 25K,Savings Account,0,12,328,Website Visit,0,0,0,0,0,Website Visit,Not ready to explore,22012,5,20
95,S000096,U000553,2025-04-12 06:21:01,2025-04-12,Paid Ads,Mobile,South,45-54,25K-50K,Savings Account,0,11,267,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,19886,4,15
96,S000097,U001535,2025-01-17 03:22:04,2025-01-17,Referral,Mobile,North,25-34,25K-50K,Personal Loan,0,5,639,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,87341,1,3
97,S000098,U001459,2025-01-16 18:06:35,2025-01-16,Organic Search,Mobile,North,35-44,25K-50K,Personal Loan,0,3,1091,Lead Form Submitted,1,1,1,1,1,,,0,1,3
98,S000099,U000450,2025-03-14 20:19:12,2025-03-14,Paid Ads,Mobile,North,45-54,25K-50K,Credit Card,0,8,1024,CTA Clicked,1,1,1,0,0,CTA Clicked,Form looked too long,34559,3,11
99,S000100,U000244,2025-05-21 03:48:59,2025-05-21,Referral,Mobile,Central,45-54,50K-100K,Credit Card,0,12,751,Lead Form Submitted,1,1,1,1,1,,,0,5,21
100,S000101,U001922,2025-06-14 19:09:22,2025-06-14,Referral,Desktop,East,45-54,100K+,Personal Loan,0,3,980,Website Visit,0,0,0,0,0,Website Visit,Not ready to explore,72286,6,24
101,S000102,U001195,2025-03-16 14:46:25,2025-03-16,Paid Ads,Desktop,South,45-54,25K-50K,Insurance Plan,0,11,261,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,8898,3,11
102,S000103,U001127,2025-04-19 11:53:40,2025-04-19,Organic Search,Mobile,Central,25-34,100K+,Personal Loan,1,5,904,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,140147,4,16
103,S000104,U001598,2025-02-14 19:05:33,2025-02-14,Organic Search,Tablet,West,45-54,25K-50K,Credit Card,0,3,161,Calculator Used,1,1,0,0,0,Calculator Used,Required information unavailable,30070,2,7
104,S000105,U000526,2025-06-25 04:04:14,2025-06-25,Social Media,Mobile,North,18-24,Below 25K,Personal Loan,1,11,87,Calculator Used,1,1,0,0,0,Calculator Used,Technical issue,125460,6,26
105,S000106,U000615,2025-04-25 10:33:35,2025-04-25,Referral,Mobile,South,25-34,50K-100K,Credit Card,1,7,515,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,17674,4,17
106,S000107,U001530,2025-02-07 07:23:02,2025-02-07,Organic Search,Desktop,Central,35-44,25K-50K,Personal Loan,0,4,752,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,70332,2,6
107,S000108,U001502,2025-03-22 01:14:05,2025-03-22,Organic Search,Mobile,East,25-34,50K-100K,Savings Account,0,5,59,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,16019,3,12
108,S000109,U001204,2025-06-29 17:42:01,2025-06-29,Organic Search,Mobile,East,35-44,25K-50K,Insurance Plan,0,7,549,Lead Form Submitted,1,1,1,1,1,,,0,6,26
109,S000110,U000065,2025-02-08 13:40:46,2025-02-08,Organic Search,Tablet,North,25-34,50K-100K,Credit Card,0,4,915,Product Page Viewed,1,0,0,0,0,Product Page Viewed,High interest-rate concern,21292,2,6
110,S000111,U001451,2025-02-21 08:23:42,2025-02-21,Paid Ads,Desktop,Central,35-44,50K-100K,Insurance Plan,0,4,491,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,10705,2,8
111,S000112,U001970,2025-06-15 21:44:47,2025-06-15,Email,Mobile,South,35-44,25K-50K,Credit Card,0,5,499,Lead Form Submitted,1,1,1,1,1,,,0,6,24
112,S000113,U000456,2025-01-19 18:13:27,2025-01-19,Direct,Mobile,South,35-44,25K-50K,Personal Loan,1,1,80,Calculator Used,1,1,0,0,0,Calculator Used,Calculator result not attractive,106842,1,3
113,S000114,U000144,2025-03-23 19:15:57,2025-03-23,Email,Mobile,North,35-44,Below 25K,Insurance Plan,1,10,797,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,6573,3,12
114,S000115,U001481,2025-02-10 17:36:39,2025-02-10,Paid Ads,Desktop,North,35-44,50K-100K,Credit Card,0,1,634,Lead Form Submitted,1,1,1,1,1,,,0,2,7
115,S000116,U001150,2025-03-23 03:53:47,2025-03-23,Organic Search,Desktop,Central,55+,Below 25K,Personal Loan,0,5,629,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,117482,3,12
116,S000117,U000157,2025-01-13 20:23:41,2025-01-13,Direct,Desktop,South,25-34,50K-100K,Credit Card,1,9,880,Lead Form Started,1,1,1,1,0,Lead Form Started,Too many required fields,24882,1,3
117,S000118,U000439,2025-05-12 11:08:02,2025-05-12,Social Media,Desktop,North,25-34,50K-100K,Insurance Plan,1,8,748,Website Visit,0,0,0,0,0,Website Visit,Landing page mismatch,8649,5,20
118,S000119,U000177,2025-06-04 08:09:13,2025-06-04,Organic Search,Mobile,West,25-34,50K-100K,Personal Loan,0,4,1014,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,77022,6,23
119,S000120,U000542,2025-01-28 04:29:24,2025-01-28,Organic Search,Mobile,North,25-34,25K-50K,Credit Card,0,9,519,Calculator Used,1,1,0,0,0,Calculator Used,Calculator result not attractive,21895,1,5
120,S000121,U000648,2025-03-12 18:21:16,2025-03-12,Paid Ads,Mobile,East,35-44,25K-50K,Personal Loan,0,10,890,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,91195,3,11
121,S000122,U001575,2025-04-01 15:10:35,2025-04-01,Social Media,Tablet,North,35-44,Below 25K,Credit Card,0,2,1186,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,27503,4,14
122,S000123,U000038,2025-01-24 04:58:46,2025-01-24,Social Media,Mobile,East,25-34,100K+,Personal Loan,0,1,1185,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,147692,1,4
123,S000124,U000780,2025-03-01 12:44:14,2025-03-01,Social Media,Mobile,South,25-34,25K-50K,Personal Loan,0,6,230,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,98768,3,9
124,S000125,U001144,2025-02-17 05:07:54,2025-02-17,Social Media,Mobile,North,25-34,25K-50K,Credit Card,0,5,170,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,24203,2,8
125,S000126,U001053,2025-01-30 02:40:56,2025-01-30,Direct,Mobile,West,55+,25K-50K,Personal Loan,1,7,1135,Lead Form Submitted,1,1,1,1,1,,,0,1,5
126,S000127,U001960,2025-03-03 08:12:01,2025-03-03,Organic Search,Mobile,North,55+,100K+,Savings Account,0,4,962,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Comparing alternatives,14722,3,10
127,S000128,U001533,2025-05-09 19:21:12,2025-05-09,Paid Ads,Desktop,North,45-54,Below 25K,Insurance Plan,0,2,55,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Technical issue,6933,5,19
128,S000129,U001703,2025-01-08 15:49:17,2025-01-08,Paid Ads,Mobile,East,25-34,100K+,Insurance Plan,0,6,912,Lead Form Submitted,1,1,1,1,1,,,0,1,2
129,S000130,U001102,2025-03-16 11:35:58,2025-03-16,Paid Ads,Tablet,West,45-54,Below 25K,Insurance Plan,0,10,677,Product Page Viewed,1,0,0,0,0,Product Page Viewed,Unclear product value,7921,3,11
130,S000131,U001442,2025-02-16 01:24:44,2025-02-16,Direct,Desktop,North,25-34,50K-100K,Credit Card,1,5,1126,Lead Form Started,1,1,1,1,0,Lead Form Started,Document requirement concern,19618,2,7
131,S000132,U001999,2025-05-18 10:55:42,2025-05-18,Email,Mobile,Central,18-24,100K+,Personal Loan,0,5,388,Lead Form Started,1,1,1,1,0,Lead Form Started,Technical issue,132821,5,20
